Radius_[mm],Normalized_Integrated_Intensity
0.03571,1.11270
0.07143,1.06688
0.10714,1.07499
0.14286,1.10045
0.17857,1.07585
0.21429,1.06045
0.25000,1.04438
0.28571,1.07785
0.32143,1.09398
0.35714,1.08385
0.39286,1.10821
0.42857,1.11636
0.46429,1.08581
0.50000,1.05603
0.53571,1.05702
0.57143,1.06236
0.60714,1.06566
0.64286,1.06724
0.67857,1.06879
0.71429,1.07917
0.75000,1.08740
0.78571,1.06952
0.82143,1.06954
0.85714,1.05360
0.89286,1.05709
0.92857,1.04538
0.96429,1.03195
1.00000,1.03859
1.03571,1.05024
1.07143,1.05030
1.10714,1.05989
1.14286,1.04430
1.17857,1.01990
1.21429,1.03019
1.25000,1.03406
1.28571,1.03399
1.32143,1.02959
1.35714,1.02577
1.39286,1.02954
1.42857,1.01417
1.46429,1.02038
1.50000,1.02265
1.53571,1.01677
1.57143,1.01295
1.60714,1.01484
1.64286,1.01844
1.67857,1.00825
1.71429,1.00209
1.75000,0.99976
1.78571,1.00508
1.82143,1.00093
1.85714,1.00555
1.89286,1.00141
1.92857,0.98613
1.96429,0.98528
2.00000,0.98806
2.03571,0.98242
2.07143,0.97734
2.10714,0.98548
2.14286,0.98228
2.17857,0.97627
2.21429,0.96278
2.25000,0.95977
2.28571,0.95910
2.32143,0.96840
2.35714,0.96635
2.39286,0.95908
2.42857,0.95545
2.46429,0.94593
2.50000,0.93227
2.53571,0.93225
2.57143,0.94380
2.60714,0.94992
2.64286,0.94492
2.67857,0.94114
2.71429,0.94424
2.75000,0.93619
2.78571,0.91559
2.82143,0.91620
2.85714,0.91792
2.89286,0.92759
2.92857,0.91691
2.96429,0.91379
3.00000,0.91407
3.03571,0.91088
3.07143,0.90574
3.10714,0.90506
3.14286,0.89775
3.17857,0.88673
3.21429,0.89592
3.25000,0.90036
3.28571,0.89665
3.32143,0.88070
3.35714,0.87011
3.39286,0.87011
3.42857,0.87350
3.46429,0.87470
3.50000,0.87297
3.53571,0.86535
3.57143,0.86336
3.60714,0.93384
3.64286,1.02874
3.67857,0.80588
3.71429,0.05046
3.75000,-0.30584
3.78571,-0.10963
3.82143,0.00651
3.85714,0.02217
3.89286,0.01700
3.92857,0.00913
3.96429,0.00323
4.00000,0.00564
4.03571,0.01224
4.07143,0.00865
4.10714,0.00768
4.14286,0.00552
4.17857,0.00025
4.21429,0.00003
4.25000,-0.00810
4.28571,-0.00819
4.32143,-0.00776
4.35714,-0.00816
4.39286,-0.00350
4.42857,-0.01172
4.46429,-0.01405
4.50000,-0.01077
4.53571,-0.01245
4.57143,-0.01375
4.60714,-0.01742
4.64286,-0.01369
4.67857,-0.01521
4.71429,-0.01721
4.75000,-0.01078
4.78571,-0.01801
4.82143,-0.02033
4.85714,-0.01944
4.89286,-0.01413
4.92857,-0.01874
4.96429,-0.02458
5.00000,-0.02315
5.03571,-0.01982
5.07143,-0.01833
5.10714,-0.02433
5.14286,-0.02199
5.17857,-0.02414
5.21429,-0.02318
5.25000,-0.02514
5.28571,-0.02828
5.32143,-0.02595
5.35714,-0.03567
