Radius_[mm],Normalized_Integrated_Intensity
0.03571,1.15880
0.07143,1.09028
0.10714,1.08665
0.14286,1.10066
0.17857,1.05966
0.21429,1.04800
0.25000,1.03328
0.28571,1.07855
0.32143,1.08645
0.35714,1.08097
0.39286,1.12097
0.42857,1.12938
0.46429,1.08235
0.50000,1.04727
0.53571,1.04824
0.57143,1.05200
0.60714,1.05866
0.64286,1.07114
0.67857,1.07124
0.71429,1.08574
0.75000,1.09692
0.78571,1.07193
0.82143,1.07213
0.85714,1.05118
0.89286,1.05627
0.92857,1.04209
0.96429,1.02019
1.00000,1.03446
1.03571,1.05016
1.07143,1.05089
1.10714,1.06303
1.14286,1.04156
1.17857,1.01141
1.21429,1.02836
1.25000,1.03361
1.28571,1.03216
1.32143,1.02872
1.35714,1.02751
1.39286,1.03183
1.42857,1.00927
1.46429,1.01864
1.50000,1.02364
1.53571,1.01796
1.57143,1.01078
1.60714,1.01027
1.64286,1.01732
1.67857,1.00732
1.71429,1.00360
1.75000,0.99869
1.78571,1.00419
1.82143,0.99890
1.85714,1.01321
1.89286,1.00964
1.92857,0.98605
1.96429,0.98634
2.00000,0.98979
2.03571,0.98267
2.07143,0.97722
2.10714,0.98735
2.14286,0.98902
2.17857,0.97988
2.21429,0.95813
2.25000,0.95687
2.28571,0.95772
2.32143,0.97035
2.35714,0.97072
2.39286,0.95900
2.42857,0.95309
2.46429,0.94221
2.50000,0.92972
2.53571,0.92807
2.57143,0.94627
2.60714,0.95308
2.64286,0.94697
2.67857,0.94398
2.71429,0.95158
2.75000,0.93761
2.78571,0.91158
2.82143,0.91127
2.85714,0.91696
2.89286,0.93432
2.92857,0.92097
2.96429,0.91332
3.00000,0.91683
3.03571,0.91827
3.07143,0.91335
3.10714,0.91164
3.14286,0.90031
3.17857,0.88921
3.21429,0.90381
3.25000,0.91017
3.28571,0.90663
3.32143,0.88808
3.35714,0.87623
3.39286,0.87811
3.42857,0.88462
3.46429,0.89326
3.50000,0.89802
3.53571,0.90118
3.57143,0.91944
3.60714,1.06594
3.64286,1.26685
3.67857,0.94689
3.71429,-0.29229
3.75000,-0.75357
3.78571,-0.26070
3.82143,-0.02723
3.85714,0.00578
3.89286,0.00288
3.92857,-0.00317
3.96429,-0.00709
4.00000,0.00297
4.03571,0.01013
4.07143,0.00572
4.10714,0.00492
4.14286,0.00274
4.17857,-0.00433
4.21429,-0.00361
4.25000,-0.01260
4.28571,-0.01088
4.32143,-0.01104
4.35714,-0.01025
4.39286,-0.00215
4.42857,-0.01671
4.46429,-0.02187
4.50000,-0.01354
4.53571,-0.01373
4.57143,-0.01423
4.60714,-0.02081
4.64286,-0.01585
4.67857,-0.01735
4.71429,-0.02259
4.75000,-0.01233
4.78571,-0.01864
4.82143,-0.02507
4.85714,-0.02227
4.89286,-0.01261
4.92857,-0.01721
4.96429,-0.02702
5.00000,-0.02848
5.03571,-0.02402
5.07143,-0.02112
5.10714,-0.02821
5.14286,-0.02397
5.17857,-0.02960
5.21429,-0.02708
5.25000,-0.02669
5.28571,-0.03384
5.32143,-0.03133
5.35714,-0.03927
